Designator,Mid X,Mid Y,Layer,Rotation
R23,214.88,149.86,Bottom,0.0
R24,34.93,102.87,Bottom,180.0
R25,29.85,102.87,Bottom,180.0
R26,213.36,147.32,Bottom,180.0
R27,137.16,130.68,Bottom,180.0
R28,213.36,154.94,Bottom,180.0
R29,213.36,152.40,Bottom,180.0
R30,203.20,148.59,Bottom,180.0
R31,175.39,152.27,Bottom,0.0
R32,174.24,150.11,Bottom,180.0
R33,172.21,148.08,Bottom,0.0
R34,169.67,152.78,Bottom,0.0
R41,167.39,149.86,Bottom,270.0
R42,101.85,58.80,Bottom,0.0
R44,102.36,56.39,Bottom,0.0
R45,191.77, 8.89,Bottom,180.0
R46,102.49,143.13,Bottom,180.0
R47,144.78,146.05,Bottom,0.0
R50,58.42,30.48,Bottom,180.0
R51,83.82,146.05,Bottom,0.0
R52,69.85,142.24,Bottom,0.0
R53,69.85,144.78,Bottom,0.0
R54,78.74,146.05,Bottom,180.0
R55,78.74,140.34,Bottom,180.0
R56,78.74,144.15,Bottom,180.0
R57,78.74,142.24,Bottom,180.0
R58,78.74,138.43,Bottom,180.0
R59,78.74,136.53,Bottom,180.0
R60,88.90,140.97,Bottom,180.0
R61,88.90,135.89,Bottom,0.0
R62,88.90,138.43,Bottom,180.0
R64,26.67,146.05,Bottom,180.0
R65,26.04,143.64,Bottom,180.0
R69,32.89,151.77,Bottom,180.0
R70,32.89,149.61,Bottom,0.0
R75,24.13,135.89,Bottom,180.0
R78,45.72,146.05,Bottom,180.0
R79,60.96,147.32,Bottom,180.0
R80,66.04,147.32,Bottom,0.0
R86,68.45,52.58,Bottom,0.0
R87,48.26,48.26,Bottom,180.0
R90,63.37,52.83,Bottom,0.0
R92,208.28,148.59,Bottom,0.0
R93,203.20,151.13,Bottom,180.0
R94,109.22,135.89,Bottom,180.0
R97,174.37,47.12,Bottom,180.0
R98,131.57,104.14,Bottom,180.0
R100,33.02,162.56,Bottom,180.0
R101,33.02,166.37,Bottom,180.0
R135,28.83,153.92,Bottom,180.0
R136,68.58,25.40,Bottom,0.0
R137,55.88,90.04,Bottom,180.0
R138,185.42,163.83,Bottom,180.0
R139,213.36,163.83,Bottom,0.0
RP1,139.11,42.55,Bottom,90.0
RP2,73.66,42.55,Bottom,270.0
RP3,36.90,127.00,Bottom,270.0
U26,147.32,156.21,Bottom,270.0
U27,160.66,156.21,Bottom,270.0
U35,60.96,24.13,Bottom,270.0
